County,Name,Address,Phone,Fax,Link to Website
Alameda,Pamela Price ,"1225 Fallon Street, Room 900 Oakland, CA 94612",(510) 272-6222,(510) 217-5157,https://www.alcoda.org/
Alpine,Robert Priscaro,"P.O. Box 248 Markleeville, CA 96120",(530) 694-2971,(530) 694-2980,https://www.alpinecountyca.gov/189/District-Attorney
Amador, Todd Riebe,"708 Court Street, #202 Jackson, CA 95642",(209) 223-6444,(209) 223-6304,https://www.amadorgov.org/government/district-attorney
Butte,Michael L. Ramsey,"25 County Center Drive — Administration Building Oroville, CA 95965",(530) 538-7411,(530) 538-7071,https://www.buttecounty.net/340/District-Attorney
Calaveras,Barbara Yook,"891 Mountain Ranch Road San Andreas, CA 95249",(209) 754-6330 ,(297) 754-6327,https://www.calaverasgov.us/
Colusa,Brendan Farrell ,"310 6th Street Colusa, CA 95932",(530) 458-0545,(530) 458-0518,https://www.countyofcolusa.org/357/District-Attorney
Contra Costa,Diana Becton,"900 Ward Street Martinez, CA 94553", (925) 957-2200,(925) 957-2565,https://www.contracosta.ca.gov/9975/District-Attorney-
Del Norte,Katherine Micks,"450 H Street, Room 171 Crescent City, CA 95531",(707) 464-7210, (707) 465-6609,https://www.co.del-norte.ca.us/departments/district-attorney
El Dorado,Vernon Pierson,"778 Pacific Street Placerville, CA 95667",(530) 621-6472,(530) 621-1280,https://www.eldoradoda.com/
Fresno,Lisa Smittcamp,"2100 Tulare Street Fresno, CA 93721",(559) 600-3141,(559) 600-4400,https://www.fresnocountyca.gov/Departments/District-Attorney?locale=en
Glenn,Dwayne Stewart ,"P.O. Box 430 Willows, CA 95988",(530) 934-6525,(530) 934-6529,https://countyofglenn.net/government/departments/district-attorney
Humbolt,Stacey Eads,"825 5th Street Eureka, CA 95501",(707) 445-7411,(707) 445-7416,https://humboldtgov.org/2928/District-Attorney
Imperial,George Marquez,"940 West Main Street, Suite 102 El Centro, CA 92243",(442) 265-1175,(760) 352-4474,https://da.imperialcounty.org/
Inyo,Thomas L. Hardy,"168 North Edwards Independence, CA 93526",(760) 878-0282,(760) 878-2383,https://www.inyocounty.us/services/district-attorney
Kern,Cynthia Zimmer ,"1215 Truxtun Avenue Bakersfield, CA 93301",(661) 868-2340 ,(661) 868-2700,https://www.kerncounty.com/government/departments/district-attorney
Kings,Sarah Hacker,"1400 West Lacey Blvd. Hanford, CA 93230",(559) 582-0326,(559) 584-9630,https://www.countyofkingsca.gov/departments/public-safety/district-attorney
Lake, Susan Krones,"255 N. Forbes Street Lakeport, CA 95453",(707) 263-2251 ,(707) 263-2328,https://lakecountyca.gov/203/District-Attorney
Lassen,S. Melyssah Rios,"2950 Riverside Drive, Suite 102 Susanville, CA 96130",(530) 251-8283 , (530) 251-2692,https://www.lassencounty.org/dept/district-attorney/welcome
Los Angeles,George Gascon,"211 W. Temple Street, Suite 1200 Los Angeles, CA 90012",(213) 974-3501,(213) 974-1484,https://da.lacounty.gov/
Madera,Sally O. Moreno,"300 S. G Street, Suite 300 Madera, CA 93637",(559) 395-0600,(559) 661-0070,https://www.maderada.org/
Marin,Lori Frugoli,"3501 Civic Center Drive, Room 130 San Rafael, CA 94903",(415) 499-6450,(415) 499-6734,https://www.marincountyda.org/
Mariposa,Walter Wall,"P.O. Box 730 Mariposa, CA 95338",(209) 966-3626,(209) 966-5681,https://www.mariposacounty.org/74/District-Attorney
